sample_delay_us,ch1_V
-22.600000,-0.1806892
-22.592000,-0.1806892
-22.584000,-0.1806892
-22.576000,-0.1806359
-22.568000,-0.1806892
-22.560000,-0.1806892
-22.552000,-0.1806892
-22.544000,-0.1806359
-22.536000,-0.1806359
-22.528000,-0.1807426
-22.520000,-0.1806892
-22.512000,-0.1806892
-22.504000,-0.1806359
-22.496000,-0.1806359
-22.488000,-0.1805292
-22.480000,-0.1805292
-22.472000,-0.1805826
-22.464000,-0.1806892
-22.456000,-0.1806892
-22.448000,-0.1806892
-22.440000,-0.1806892
-22.432000,-0.1807426
-22.424000,-0.1806359
-22.416000,-0.1806359
-22.408000,-0.1806359
-22.400000,-0.1805826
-22.392000,-0.1805826
-22.384000,-0.1805826
-22.376000,-0.1806359
-22.368000,-0.1805826
-22.360000,-0.1805826
-22.352000,-0.1805826
-22.344000,-0.1805292
-22.336000,-0.1805292
-22.328000,-0.1805826
-22.320000,-0.1805292
-22.312000,-0.1805292
-22.304000,-0.1805826
-22.296000,-0.1805826
-22.288000,-0.1805826
-22.280000,-0.1805826
-22.272000,-0.1805826
-22.264000,-0.1805826
-22.256000,-0.1804759
-22.248000,-0.1804226
-22.240000,-0.1805826
-22.232000,-0.1806892
-22.224000,-0.1806359
-22.216000,-0.1806359
-22.208000,-0.1805826
-22.200000,-0.1805826
-22.192000,-0.1804226
-22.184000,-0.1803692
-22.176000,-0.1805292
-22.168000,-0.1805292
-22.160000,-0.1804226
-22.152000,-0.1804759
-22.144000,-0.1804759
-22.136000,-0.1805826
-22.128000,-0.1805292
-22.120000,-0.1804226
-22.112000,-0.1803692
-22.104000,-0.1804759
-22.096000,-0.1804759
-22.088000,-0.1804226
-22.080000,-0.1804226
-22.072000,-0.1804226
-22.064000,-0.1804226
-22.056000,-0.1804759
-22.048000,-0.1805292
-22.040000,-0.1804759
-22.032000,-0.1804226
-22.024000,-0.1804759
-22.016000,-0.1804226
-22.008000,-0.1804226
-22.000000,-0.1804226
-21.992000,-0.1804226
-21.984000,-0.1803692
-21.976000,-0.1803159
-21.968000,-0.1802625
-21.960000,-0.1803159
-21.952000,-0.1804226
-21.944000,-0.1804226
-21.936000,-0.1804226
-21.928000,-0.1805292
-21.920000,-0.1806359
-21.912000,-0.1805292
-21.904000,-0.1803159
-21.896000,-0.1803159
-21.888000,-0.1803159
-21.880000,-0.1803692
-21.872000,-0.1803692
-21.864000,-0.1803692
-21.856000,-0.1804226
-21.848000,-0.1803692
-21.840000,-0.1803692
-21.832000,-0.1803159
-21.824000,-0.1803159
-21.816000,-0.1803159
-21.808000,-0.1803692
-21.800000,-0.1804226
-21.792000,-0.1804226
-21.784000,-0.1804759
-21.776000,-0.1804759
-21.768000,-0.1803692
-21.760000,-0.1803692
-21.752000,-0.1803692
