session,target,distance_cm,pulse_us,threshold_v,delta_mV,plateau_amp_mV,splithalf_floor,quality,amp_mean_abs_mV
gui_20260713_212812,copper pipe,10,30.0,1.5,-3.957,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,30.0,0.5,-1.792,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,45.0,4.9,-2.166,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,45.0,4.8,-2.373,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,45.0,4.7,-2.969,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,45.0,4.4,-3.518,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,45.0,4.2,-4.148,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,45.0,3.8,-4.649,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,45.0,2.4,-5.168,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,45.0,1.5,-3.872,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,45.0,0.5,-1.784,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,67.2,4.9,-1.893,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,67.2,4.8,-2.683,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,67.2,4.7,-2.88,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,67.2,4.4,-3.929,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,67.2,4.2,-4.387,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,67.2,3.8,-5.369,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,67.2,2.4,-5.498,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,67.2,1.5,-4.086,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,67.2,0.5,-1.765,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,100.0,4.9,-3.165,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,100.0,4.8,-3.024,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,100.0,4.7,-3.062,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,100.0,4.4,-4.34,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,100.0,4.2,-4.754,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,100.0,3.8,-5.603,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,100.0,2.4,-5.77,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,100.0,1.5,-4.31,31.775,5.15,ok,3.168
gui_20260713_212812,copper pipe,10,100.0,0.5,-1.802,31.775,5.15,ok,3.168
gui_20260713_212812,brass eyeball,5,6.0,4.9,-1.723,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,6.0,4.8,0.189,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,6.0,4.7,-1.153,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,6.0,4.4,-1.307,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,6.0,4.2,-1.62,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,6.0,3.8,-1.924,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,6.0,2.4,-1.948,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,6.0,1.5,-1.684,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,6.0,0.5,-1.009,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,9.0,4.9,-1.041,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,9.0,4.8,-1.036,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,9.0,4.7,-1.332,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,9.0,4.4,-1.471,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,9.0,4.2,-1.284,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,9.0,3.8,-1.681,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,9.0,2.4,-2.257,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,9.0,1.5,-1.71,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,9.0,0.5,-0.837,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,13.44,4.9,0.49,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,13.44,4.8,-0.503,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,13.44,4.7,-0.994,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,13.44,4.4,-1.446,14.19,2.851,noisy,1.546
gui_20260713_212812,brass eyeball,5,13.44,4.2,-1.769,14.19,2.851,noisy,1.546
