sample_delay_us,air_paired_mV,spanner_mV,air_earlier_mV
1.335999999999999943e+01,5.505194096385540092e+01,8.670290000000015596e+01,5.734679999999999467e+01
1.337000000000000099e+01,5.353848554216865097e+01,8.670290000000015596e+01,5.529869999999999663e+01
1.337999999999999901e+01,5.348913373493974888e+01,8.670290000000015596e+01,5.461599999999999966e+01
1.339000000000000057e+01,5.171246867469881892e+01,8.670290000000015596e+01,5.325059999999999860e+01
1.340000000000000036e+01,5.160553975903617641e+01,8.670290000000015596e+01,5.256789999999999452e+01
1.341000000000000014e+01,4.992757831325303641e+01,8.670290000000015596e+01,5.120250000000000057e+01
1.341999999999999993e+01,4.982887469879521092e+01,8.670290000000015596e+01,5.120250000000000057e+01
1.342999999999999972e+01,4.823316626506027660e+01,8.670290000000015596e+01,4.983709999999999241e+01
1.343999999999999950e+01,4.813446265060244400e+01,8.670290000000015596e+01,4.983709999999999241e+01
1.344999999999999929e+01,4.650585301204817767e+01,8.670290000000015596e+01,4.778900000000000148e+01
1.346000000000000085e+01,4.641537469879515498e+01,8.670290000000015596e+01,4.778900000000000148e+01
1.346999999999999886e+01,4.488546867469877100e+01,8.670290000000015596e+01,4.574089999999999634e+01
1.348000000000000043e+01,4.483611686746986891e+01,8.670290000000015596e+01,4.574089999999999634e+01
1.349000000000000021e+01,4.331443614457828772e+01,8.670290000000015596e+01,4.437549999999999528e+01
1.350000000000000000e+01,4.322395783132527924e+01,8.670290000000015596e+01,4.437549999999999528e+01
1.350999999999999979e+01,4.158712289156623854e+01,8.670290000000015596e+01,4.301009999999999422e+01
1.351999999999999957e+01,4.151309518072287119e+01,8.670290000000015596e+01,4.301009999999999422e+01
1.353000000000000114e+01,4.012301927710841909e+01,8.670290000000015596e+01,4.164470000000000027e+01
1.353999999999999915e+01,4.007366746987949568e+01,8.670290000000015596e+01,4.164470000000000027e+01
1.355000000000000071e+01,3.855198674698796424e+01,8.667822409638569070e+01,3.959659999999999513e+01
1.356000000000000050e+01,3.846150843373494865e+01,8.667822409638569070e+01,3.959659999999999513e+01
1.357000000000000028e+01,3.698917951807231219e+01,8.590504578313249340e+01,3.754849999999999710e+01
1.358000000000000007e+01,3.694805301204822001e+01,8.578989156626501256e+01,3.754849999999999710e+01
1.358999999999999986e+01,3.563200481927710683e+01,8.430933734939756619e+01,3.686580000000000013e+01
1.359999999999999964e+01,3.555797710843373949e+01,8.416950722891562009e+01,3.686580000000000013e+01
1.360999999999999943e+01,3.411854939759039240e+01,8.259847469879521498e+01,3.550039999999999196e+01
1.362000000000000099e+01,3.405274698795182786e+01,8.256557349397594692e+01,3.550039999999999196e+01
1.362999999999999901e+01,3.271202289156625653e+01,8.100276626506023092e+01,3.276959999999999695e+01
1.364000000000000057e+01,3.267089638554215725e+01,8.095341445783132883e+01,3.276959999999999695e+01
1.365000000000000036e+01,3.130549638554215264e+01,7.962914096385541995e+01,3.345229999999999393e+01
1.366000000000000014e+01,3.123969397590359875e+01,7.957978915662650365e+01,3.276959999999999695e+01
1.366999999999999993e+01,2.999767349397590266e+01,7.804988313253016941e+01,3.072149999999999892e+01
1.367999999999999972e+01,2.999767349397590266e+01,7.802520722891571836e+01,3.072149999999999892e+01
1.368999999999999950e+01,2.871452650602407886e+01,7.654465301204821515e+01,3.003879999999999839e+01
1.369999999999999929e+01,2.865694939759035265e+01,7.648707590361448183e+01,3.003879999999999839e+01
1.371000000000000085e+01,2.729977469879516860e+01,7.517102771084340418e+01,2.799069999999999681e+01
1.372000000000000064e+01,2.718462048192770908e+01,7.507232409638557158e+01,2.730799999999999983e+01
1.373000000000000043e+01,2.603307831325301791e+01,7.382207831325304426e+01,2.594259999999999877e+01
1.374000000000000021e+01,2.594260000000000588e+01,7.378095180722893076e+01,2.662529999999999930e+01
1.375000000000000000e+01,2.484863493975903737e+01,7.226749638554220212e+01,2.594259999999999877e+01
1.375999999999999979e+01,2.477460722891566647e+01,7.223459518072291985e+01,2.594259999999999877e+01
1.376999999999999957e+01,2.359838915662652425e+01,7.091854698795179957e+01,2.457719999999999771e+01
1.377999999999999936e+01,2.354903734939761506e+01,7.090209638554215132e+01,2.389450000000000074e+01
1.378999999999999915e+01,2.232346746987950681e+01,6.950379518072294616e+01,2.321179999999999666e+01
1.380000000000000071e+01,2.224943975903612881e+01,6.944621807228921284e+01,2.321179999999999666e+01
1.381000000000000050e+01,2.118837590361445677e+01,6.828645060240967268e+01,2.116369999999999862e+01
1.382000000000000028e+01,2.114724939759036104e+01,6.825354939759040462e+01,2.116369999999999862e+01
1.383000000000000007e+01,2.007796024096384713e+01,6.693750120481925592e+01,2.116369999999999862e+01
1.383999999999999986e+01,2.002860843373493438e+01,6.688814939759033962e+01,2.116369999999999862e+01
1.384999999999999964e+01,1.889351686746988790e+01,6.571193132530123648e+01,1.911560000000000059e+01
1.385999999999999943e+01,1.882771445783133402e+01,6.567080481927710878e+01,1.911560000000000059e+01
