sample_delay_us,air_mV
3.529999999999999716e+01,1.570209999999999972e+01
3.540000000000000568e+01,1.501939999999999920e+01
3.550000000000000000e+01,1.570209999999999972e+01
3.560000000000000142e+01,1.433669999999999867e+01
3.570000000000000284e+01,1.638479999999999848e+01
3.579999999999999716e+01,1.501939999999999920e+01
3.590000000000000568e+01,1.638479999999999848e+01
3.600000000000000000e+01,1.433669999999999867e+01
3.609999999999999432e+01,1.433669999999999867e+01
3.620000000000000284e+01,1.638479999999999848e+01
3.629999999999999716e+01,1.570209999999999972e+01
3.639999999999999858e+01,1.501939999999999920e+01
3.650000000000000000e+01,1.638479999999999848e+01
3.659999999999999432e+01,1.433669999999999867e+01
3.670000000000000284e+01,1.433669999999999867e+01
3.680000000000000426e+01,1.638479999999999848e+01
3.689999999999999858e+01,1.433669999999999867e+01
3.700000000000000000e+01,1.570209999999999972e+01
3.709999999999999432e+01,1.570209999999999972e+01
3.720000000000000284e+01,1.433669999999999867e+01
3.729999999999999716e+01,1.433669999999999867e+01
3.739999999999999858e+01,1.570209999999999972e+01
3.750000000000000000e+01,1.501939999999999920e+01
3.760000000000000142e+01,1.638479999999999848e+01
3.769999999999999574e+01,1.501939999999999920e+01
3.779999999999999716e+01,1.638479999999999848e+01
3.790000000000000568e+01,1.501939999999999920e+01
3.800000000000000000e+01,1.638479999999999848e+01
3.810000000000000142e+01,1.570209999999999972e+01
3.820000000000000284e+01,1.501939999999999920e+01
3.829999999999999716e+01,1.638479999999999848e+01
3.840000000000000568e+01,1.501939999999999920e+01
3.850000000000000000e+01,1.501939999999999920e+01
3.859999999999999432e+01,1.638479999999999848e+01
3.870000000000000284e+01,1.501939999999999920e+01
3.879999999999999716e+01,1.706749999999999901e+01
3.889999999999999858e+01,1.638479999999999848e+01
3.900000000000000000e+01,1.501939999999999920e+01
3.909999999999999432e+01,1.706749999999999901e+01
3.920000000000000284e+01,1.570209999999999972e+01
3.930000000000000426e+01,1.638479999999999848e+01
3.939999999999999858e+01,1.501939999999999920e+01
