fw_time_ms,wall_time_s,ch0_uV,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV,ch17_uV,ch18_uV,ch19_uV,ch20_uV,ch21_uV,ch22_uV,ch23_uV,ch24_uV,ch25_uV,ch26_uV,ch27_uV,ch28_uV,ch29_uV,ch30_uV,ch31_uV,ch32_uV,ch33_uV,ch34_uV,ch35_uV,ch36_uV,ch37_uV,ch38_uV,ch39_uV,ch40_uV,ch41_uV,ch42_uV,ch43_uV,ch44_uV
1578822,1781937043.3052,4712333,4161014,3517818,3004989,2498531,2005119,1503944,999412,497417,4689750,4247246,3626690,2983131,2470722,1974906,1477508,982608,487060,4732857,4193954,3571224,3063430,2558727,1947383,1539535,967369,475025,4474964,4099483,3454437,2958793,2461128,1969795,1473178,982646,458087,4463539,4192371,3456611,2954998,2464008,1968517,1454391,976448,487079
1578926,1781937043.4087,4712257,4160900,3517761,3004970,2498531,2005119,1504020,999431,497474,4689445,4247265,3626690,2983131,2470798,1974926,1477489,982666,487079,4732876,4194069,3571281,3063449,2558689,1947441,1539497,967350,475044,4474754,4099426,3454399,2958755,2461128,1969795,1473159,982608,458087,4463424,4192237,3456573,2955017,2464027,1968441,1454372,976448,487060
1579028,1781937043.5110,4712353,4160881,3517685,3004989,2498512,2005100,1504020,999412,497474,4689350,4247265,3626728,2983150,2470836,1974964,1477470,982627,487079,4733104,4194145,3571300,3063469,2558765,1947441,1539478,967407,475082,4474430,4099311,3454342,2958736,2461071,1969795,1473159,982627,458068,4463386,4192237,3456554,2955093,2464008,1968402,1454353,976448,487003
1579129,1781937043.6117,4712448,4160938,3517665,3004989,2498531,2005119,1504020,999469,497512,4689502,4247093,3626747,2983112,2470893,1974945,1477470,982589,487041,4733143,4194126,3571300,3063449,2558689,1947422,1539478,967426,475044,4474525,4099292,3454246,2958736,2460994,1969718,1473140,982608,458107,4463386,4192180,3456459,2954998,2463951,1968383,1454315,976333,487041
1579226,1781937043.7081,4712429,4160919,3517551,3005046,2498493,2005214,1504097,999565,497474,4689235,4247074,3626709,2983074,2470913,1974926,1477489,982627,487079,4733314,4194259,3571281,3063449,2558727,1947364,1539440,967369,474987,4474468,4099235,3454227,2958698,2460956,1969718,1473083,982532,458107,4463367,4192142,3456459,2955036,2463951,1968421,1454277,976314,487022
1579311,1781937043.7938,4712391,4160881,3517494,3005027,2498512,2005233,1504097,999507,497493,4688987,4247074,3626690,2983074,2470874,1974926,1477432,982608,487117,4733181,4194297,3571262,3063411,2558689,1947383,1539459,967388,475006,4474430,4099140,3454113,2958603,2460937,1969680,1473045,982589,458107,4463272,4192066,3456325,2955093,2463855,1968383,1454200,976276,487022
1579407,1781937043.9095,4712467,4160823,3517475,3004989,2498474,2005100,1504077,999507,497474,4689045,4247131,3626613,2983074,2470855,1974906,1477451,982608,487175,4732952,4194164,3571186,3063430,2558727,1947383,1539421,967407,475006,4474277,4099044,3454113,2958564,2460842,1969623,1473007,982570,458087,4463176,4191970,3456344,2954979,2463855,1968364,1454181,976276,487022
1579511,1781937043.9934,4712410,4160823,3517475,3004989,2498455,2005081,1504020,999507,497417,4689064,4247093,3626594,2983093,2470836,1974964,1477489,982589,487194,4732933,4194202,3571205,3063449,2558765,1947345,1539421,967502,475025,4474067,4099063,3454113,2958526,2460842,1969623,1473045,982532,458107,4463100,4191932,3456363,2954979,2463913,1968345,1454162,976276,487060
1579606,1781937044.0887,4712486,4160862,3517456,3004989,2498512,2005138,1503944,999469,497398,4689407,4247093,3626670,2983169,2470874,1975002,1477451,982551,487194,4733143,4194221,3571205,3063449,2558860,1947422,1539440,967559,474987,4473972,4098987,3454094,2958526,2460842,1969718,1473026,982551,458126,4463196,4191932,3456401,2954959,2463894,1968326,1454200,976238,487060
1579680,1781937044.1651,4712543,4160804,3517398,3005066,2498493,2005138,1503963,999450,497379,4689388,4246959,3626670,2983207,2470855,1975078,1477413,982513,487155,4733047,4194202,3571148,3063373,2558822,1947517,1539382,967502,474967,4474125,4098892,3454055,2958469,2460823,1969738,1473045,982532,458126,4463310,4192009,3456440,2954940,2463855,1968307,1454124,976295,487060
